tweet_no	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label	tweet_text
1	yes	no	yes	no	no	no	no	#Urgent #Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new #Coronavirus, starting from 7 pm until 6 am for a period of (21) days from the evening of Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020. #SPA URL
2	no					no	no	After all the precautionary measures taken by the #Kingdom to limit the spread of #Corona. . . Do you support imposing a #curfew in #Saudi Arabia from (7 pm) to (7 am) starting tomorrow, Sunday? . Yes, I do (#Retweet), and why? - I don&#39;t like (#like), and why? . . #I_with_compulsory_curfew URL
3	no					no	no	Vote 🔴. . Do you think that the (curfew) implemented by some countries prevents the spread of the Corona virus .. and why? . . Yes = retweet. no = favourite
4	no					no	no	What is our invitation?
5	yes	no	yes	no	no	no	no	#Health announces the registration of (119) new cases of the new #Coronavirus (Covid 19). URL
6	no					no	no	#we are all responsible | The cast of “Exit 7” presents its responsibility towards the prevention of the new #coronavirus in its own way. #GovernmentCommunication URL
7	yes	no	yes	no	no	no	no	#Health announces the registration of (205) new cases of the new #Corona virus (Covid 19), and the first death of a resident in Medina. URL
8	no					no	no	As a doctor in the first rows to fight Corona, I am deprived of seeing my mother, father and children. You are the one who will determine when I see them, so I hope that you stay at home so that I can see them as soon as possible and that this crisis does not last long by sitting in your home
9	yes		yes	no	no	yes	yes	Our destiny is one yesterday, today, and tomorrow, and the best way to confront Corona, which has no cure so far, is social distancing, and thank God we have leaders who acted wisely and raised the value of their human being in this crisis in a way that greatly exceeded even the developed countries.. But God protects you. ..!
10	yes	no	yes	no	yes	no	no	American newsweek: Do you know who suggested personal hygiene and quarantine during the epidemic? It is Muhammad, the prophet of Islam 1400 years ago. He was never an expert in matters of deadly diseases but Muhammad had great advice to prevent and combat the development of an epidemic like the Corona virus. Read the article URL
11	yes	yes	yes	no	yes	no	no	58 of the 70 cases announced a while ago were of contacts who attended social events and family meetings.. O good people, sit in your homes and fear God in yourselves, your families, your loved ones, your friends and your community.. It seems to me that the mandatory curfew is the solution.
12	yes	no	yes	no	no	no	no	The Italian resistance song “Bella Ciao” in the time of Corona from one of the balconies of Italy 🇮🇹❤️ URL
13	no					no	no	“Act outside your home with anyone who is infected. And act with all the people inside your house that you are the infected.” This is my message to all my children and colleagues in the Ministry of Education to deal with the #coronavirus in the education sector #We are all_responsible URL
14	yes	no	yes	no	no	no	no	#Health announces the registration of (48) new cases of the new #Coronavirus (Covid 19) as follows: - Among the new cases are cases linked to travel, and (5) cases of health practitioners and administrators in a private health facility in Riyadh, who are without health symptoms. Isolation and closure of the facility as a precaution.
15	yes	no	yes	no	no	no	no	The Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new #coronavirus, starting from 7 pm until 6 am for a period of (21) days from the evening of Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020 AD. URL #was_general URL
16	yes	no	yes	yes	yes	yes	yes	#New_Corona my dears... I decided to leave Twitter for a while, but I found it honest to share with you the real picture from the scene of the event! The area in which I work is the largest affected area in France The Grand Est Colmar Hospital is the largest hospital receiving corona cases The entire hospital has been turned into an isolation area! URL
17	yes	no		no	no	no	no	The people of #Tangier in the north of Morocco are raising the roofs of their homes, daring to God by zooming in, cheering and praying, may God raise the epidemic and remove the grief #Corona #Morocco URL
18	yes	no	yes	no	no	no	no	The Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new Corona virus, from seven in the evening until six in the morning for a period of 21 days from the evening of Monday, Rajab 28, March 23. URL
19	yes	no	yes	no	no	no	no	Today, praise be to God, 9 cases of those infected with the emerging coronavirus were cured, bringing the number of people recovered to 39. God wrote a speedy recovery for the rest and protected everyone from all evil.
20	yes	no	yes	no	no	no	no	#Health announces the registration of (70) new cases of the new #Coronavirus (Covid 19) as follows: - Registration of (11) cases coming from Morocco, India, Jordan, the Philippines, Britain, the Emirates, Switzerland, and they were isolated directly from The airport to the hospitality in sanitary isolation, which has proven its effectiveness in addressing the transmission of infection internally.
21	yes	no	yes	no	no	no	no	The UAE announced a short while ago two deaths from the Corona virus. After the announcement, the Kuwaiti Minister of Health, Dr. Basil Al-Sabah, tweeted, “I swear by God to stay in your homes.” Then, the Saudi Minister of Health, Tawfiq Al-Rabiah, tweeted, “Important, contribute to the health security of our country by sitting in your home.” - No I think it&#39;s a routine outreach message.
22	yes	yes	yes	yes	yes	yes	yes	The King Abdullah International Center for Medical Research in the National Guard, which owns 70 research scientists, including 50 Saudi scientists who hold a doctorate, is in the process of testing a vaccine against the new Corona, taking advantage of the previous Corona vaccine, and it has proven its success on animals, and among the experiments on camels, and the strength of immunity against the virus has been proven. URL is in the process of experiments
23	no					no	no	A point of view that I bear responsibility for, #Corona has proven wrong to allocate my sectors (education and health) in particular.
24	yes	yes	yes	yes	yes	yes	yes	Good evening, good news about #Corona, only 40 seconds from the owner of the initiative to gather scientists to find a cure against #Corona, announcing it live that a whole team, including a French doctor named “Raoult”, discovered that the malaria drug is the one that treats the new #Corona by 100% and was tested on 40 Sick #Abdullah_Autumn_Translations URL
25	yes	no	yes	no	no	no	no	History will not record that you are Hatem Al-Taei if you hold a feast in the midst of the #Corona crisis... Suspension of Umrah Stopping Friday and congregational prayers in mosques Postponing cabinet sessions for two weeks Closing airspace, outlets and domestic flights. Who are you in front of all this to break the restrictions of warnings and get out? The world will not know you with your generosity and habits, but rather with your hurt.
26	yes	no	yes	no	yes	no	no	At the pace of recklessness on the part of some - even if they are few - thousands, God forbid, may be infected at one time.. It is known that in advanced cases of Corona a person needs a breathing apparatus and intensive care.. How can any country provide that at one time.. especially The care rooms are in need of many for many serious diseases..Sit!
27	yes	no	yes	no	no	no	no	Praise be to God that His grace is righteous. Praise be to God, today, 5 cases of people infected with the emerging corona virus have been cured, bringing the number of those who have recovered to 27. We ask God to heal the sick and safety for all.
28	yes	yes	yes		yes	yes	yes	Bushra..and praise be to God. The King Abdullah International Center for Medical Research has reached a vaccine for the new #coronavirus, and the results are positive, thanks to God alone..and soon it will be announced… URL
29	yes	no	yes	yes	yes	no	yes	All channels of the world are busy with Corona and host specialists throughout the day to talk about it and how to confront it, except for Al Jazeera is busy with Saudi Arabia and its leadership, and it hosts Saad Al-Faqih daily to talk about it.. The funny thing is that they discuss the economic difficulties that Saudi Arabia will face as a result of Corona, as if the whole world does not face that.
30	no					no	no	Urgent.. . Health: We may resort to a curfew if a laxity in procedures is detected. . #Kingdom #Corona.
31	yes	no	yes	no	yes	no	no	The call to prayer is raised from the Al-Bayazin Mosque, in the Andalusian city of Granada, on Sunday, for the first time since the fall of the city, the last kingdom of Andalusia, 528 years ago (on January 2, 1492), and the call to prayer was prohibited there. Some Muslims in a number of neighborhoods raised the call to prayer from the balconies of their homes, and it was a memorable day. #corona url
32	yes	yes	yes	yes	yes	yes	yes	Because of the Corona virus, the planet is now at the top of activity and happiness, as it has been observed a significant decline in the proportion of polluting gases and greenhouse gases in most countries of the world as a result of the effects of the spread of the virus on business and travel and transportation, and that the proportion of carbon monoxide has decreased by 50% %❤🌍 URL
33	yes	no	yes	no	no	no	no	#Important #Coronavirus Two Egyptian doctors working in England share their experience with their colleagues in #Egypt and stress the importance of Egypt being prepared to deal with people infected with the virus #Important URL
34	no					no	no	Well, these are their invitations
35	yes	no	yes	no	no	no	no	Praise be to God, today, 3 cases of people infected with the emerging corona virus have been cured. Bringing the number of those who have recovered to 30 cases. May God bless all patients with a speedy recovery.
36	yes	no	yes	no	no	no	no	Urgent.. . The Ministry of Interior: Whoever violates the curfew order will be punished with a fine of 10,000 riyals and doubled in the event of repetition. If the violator returns to committing the violation, he will be punished with imprisonment for a period not exceeding 20 days. . #Corona #Saudi Arabia #curfew
37	yes	no	yes	no	no	no	no	#Health announces the registration of (51) new cases of the new #corona virus (Covid 19). URL
38	yes	no	yes	no	yes	no	no	Special thanks to Saudi Arabia 🇸🇦 who has flown vital USERID supplies of #COVID19 to #Yemen. The shipment includes personal protective equipment for health workers, laboratory screening tests in Aden and Sana&#39;a, as well as trauma medications and supplies to support the ongoing response to the crisis.
39	no					no	no	After all the precautionary measures taken by the #Kingdom&#39;s government to limit the spread of #Corona. . . Do you support imposing a #curfew in #Saudi Arabia from (7 pm) to (7 am) starting tomorrow, Saturday, because of the #Saudi_Corona? . . Yes, I do (#Retweet), and why? - I don&#39;t like (#like), and why? . . URL
40	yes	no	yes	no	no	no	no	Urgent: . Suspension of all domestic flights in Saudi Arabia, buses, taxis and trains for a period of 14 days, starting from six in the morning, tomorrow, Saturday. . #Saudi Arabia #Kingdom #Corona
41	yes	yes	yes	yes	yes	yes	yes	With a full Saudi crew, from entering the door to exiting it. Saudi Arabia will announce the #Coronavirus #Covid_19 vaccine very soon, after several successful trials. Praise be to God, as it should be for the glory of your face and the greatness of your power URL
42	yes	no	yes	no	no	no	no	#video 🔴 . . The Saudi journalist “Ahmed Al-Maliki” sends a strongly worded message to the #banks: The rest of you, where are your initiatives for the homeland and the citizen?, stressing, “If money is your greatest concern, then not all citizens will forget your betrayal.”
43	no					no	no	If you know in #Jeddah, the head of a family who is unemployed and in need, or his work has stopped due to the #Corona pandemic, or a family without a breadwinner and has no income, Saudis or residents, please me and favor me with their data in private, and I ask God to write what is good and payment and finish intentions for his holy face. #StayAtHome #Friday URL
44	no					yes	yes	covid 19 pro max
45	yes	no	yes	no	no	no	no	Crossing video. . #Watch a &quot;security man&quot; giving important advice to young men who went on a road trip, ignoring repeated warnings of the need to adhere to safety instructions and stay at home. . . #StayAtHome #Saudi Arabia #Important #Saudi Corona #Covid_19 #COVID19 #Compulsory_curfew_save us #home_quarantine. . URL
46	yes	yes	yes	yes	yes	yes	yes	Urgent 🚨 China announces that all males recovering from the Corona virus have complete impotence..! This is due to the high temperature, which has damaged the fertility of men. URL
47	yes	no	yes	no	no	no	no	Praise be to God, thank you very much. Praise be to God, today 4 cases of people infected with the new corona virus have been cured. Bringing the number of those who have recovered to 22 cases. May Allah grant all patients a speedy recovery
48	yes	no	yes	no	no	no	no	Urgent 🔴. . A spokesman for the Ministry of Health: The coming period will witness a rise in cases infected with the Corona virus worldwide... and we may resort to a curfew if we detect a complacency in the precautionary measures. . . #Saudi
49	yes	yes	yes	yes	yes	yes	yes	I translated a clip that is the world&#39;s talk today about the treatment of #Corona, which is a drug that was used to treat 40 people infected with the virus in France, and the recovery rate was 100%, messages of hope are beautiful in this crisis #Labib_Translation URL
50	no					no	no	Memory Tweet: For the first time in the Kingdom of Saudi Arabia, now at 7:00 pm, today, Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020 AD, is a partial ban, and we all hear and obey. Reason: Corona virus to limit its spread and we will overcome all of this together Duration: 21 days darling oh lord
51	no					no	no	What did the Sheikh swear by? Note: His words before the #Corona crisis! URL
52	no					no	no	The imam turned to the crowd of worshipers to say to them: (Let them be straight, be straight), but he did not find them! He said it in a low, weeping voice.. Then he said the takbeer for prayer, with trembling hands, and eyes overflowing with tears. #Al-Masjid an-Nabawi_Al-Sharif #Sheikh_Ahmed_Talib_Hamid #Corona URL
